"","TagID","FL_mm"
"1126","1135158",212
"1127","1135151",221
"1128","1135155",225
"1129","1135159",227
"1130","1135152",216
"1131","1135156",246
"1132","1135160",243
"1133","1135153",227
"1134","1135157",226
"1135","1135315",277
"1136","1135162",253
"1137","1135166",216
"1138","1135170",242
"1139","1135163",241
"1140","1135167",197
"1141","1135171",221
"1142","1135164",226
"1143","1135168",224
"1144","1135172",238
"1145","1135165",221
"1146","1135173",230
"1147","1135316",205
"1148","1135175",240
"1149","1135179",245
"1150","1135183",240
"1151","1135180",218
"1152","1135184",215
"1153","1135319",229
"1154","1135177",238
"1155","1135181",228
"1156","1135185",222
"1157","1135174",265
"1158","1135178",230
"1159","1135182",215
"1160","1135187",235
"1161","1135191",233
"1162","1135195",205
"1163","1135188",240
"1164","1135192",241
"1165","1135196",213
"1166","1135189",245
"1167","1135193",245
"1168","1135197",247
"1169","1135186",199
"1170","1135190",241
"1171","1135194",245
"1172","1135148",115
"1173","1135318",241
"1174","1135149",224
"1175","1135314",270
"1176","1135198",217
"1177","1135200",230
"1178","1135199",244
"1179","1135201",270
"1180","1135202",258
"1181","1135206",263
"1182","1135210",217
"1183","1135203",255
"1184","1135207",225
"1185","1135211",228
"1186","1135204",238
"1187","1135208",225
"1188","1135212",224
"1189","1135205",242
"1190","1135209",209
"1191","1135213",214
"1192","1135214",238
"1193","1135218",225
"1194","1135222",232
"1195","1135215",206
"1196","1135219",208
"1197","1135223",221
"1198","1135216",230
"1199","1135220",222
"1200","1135224",239
"1201","1135217",250
"1202","1135221",238
"1203","1135225",250
"1204","1135250",254
"1205","1135254",262
"1206","1135258",225
"1207","1135251",234
"1208","1135255",242
"1209","1135259",193
"1210","1135252",221
"1211","1135256",147
"1212","1135260",226
"1213","1135253",254
"1214","1135257",266
"1215","1135261",225
"1216","1135226",241
"1217","1135230",179
"1218","1135234",230
"1219","1135227",211
"1220","1135231",208
"1221","1135235",230
"1222","1135228",232
"1223","1135232",230
"1224","1135236",213
"1225","1135229",208
"1226","1135233",222
"1227","1135237",229
"1228","1135238",212
"1229","1135242",239
"1230","1135246",230
"1231","1135239",240
"1232","1135243",207
"1233","1135247",235
"1234","1135240",223
"1235","1135244",232
"1236","1135248",243
"1237","1135241",226
"1238","1135245",229
"1239","1135249",222
"1240","1135262",240
"1241","1135266",254
"1242","1135270",225
"1243","1135263",213
"1244","1135267",257
"1245","1135271",260
"1246","1135264",231
"1247","1135268",254
"1248","1135272",243
"1249","1135265",224
"1250","1135269",236
"1251","1135273",229
"1252","1135278",226
"1253","1135286",246
"1254","1135317",204
"1255","1135275",221
"1256","1135279",230
"1257","1135283",216
"1258","1135276",216
"1259","1135280",238
"1260","1135284",217
"1261","1135277",211
"1262","1135281",218
"1263","1135285",225
"1264","1135298",177
"1265","1135300",210
"1266","1135299",230
"1267","1135354",246
"1268","1135282",235
"1269","1135290",251
"1270","1135294",208
"1271","1135287",232
"1272","1135291",230
"1273","1135295",240
"1274","1135288",218
"1275","1135296",266
"1276","1135320",219
"1277","1135289",231
"1278","1135293",220
"1279","1135297",242
"1600","1135901",217
"1601","1135905",164
"1602","1136399",263
"1603","1135926",150
"1604","1135930",269
"1605","1135934",159
"1606","1135947",285
"1607","1135951",274
"1608","1136411",258
"1609","1135948",239
"1610","1135952",266
"1611","1135960",282
"1612","1135913",213
"1613","1135917",240
"1614","1135921",256
"1615","1135392",210
"1616","1135393",240
"1617","1135938",260
"1618","1135963",228
"1619","1135967",265
"1620","1135971",265
"1621","1135964",214
"1622","1135968",244
"1623","1135972",269
"1624","1135950",240
"1625","1135954",274
"1626","1135958",247
"1627","1135975",278
"1628","1135979",261
"1629","1135983",226
"1630","1135980",286
"1631","1135984",272
"1632","1136384",250
"1633","1135925",237
"1634","1135929",255
"1635","1135933",241
"1636","1135941",279
"1637","1135945",272
"1638","1136398",263
"1639","1135391",241
"1640","1135962",238
"1641","1135970",212
"1642","1135987",289
"1643","1135991",305
"1644","1136409",234
"1645","1135992",235
"1646","1136000",237
"1647","1136383",214
"1648","1135897",237
"1649","1135943",199
"1650","1136400",282
"1651","1135914",257
"1652","1135918",242
"1653","1135944",251
"1654","1135949",236
"1655","1135999",258
"1656","1136003",244
"1657","1135974",230
"1658","1136004",213
"1659","1136008",279
"1660","1135953",238
"1661","1135961",211
"1662","1135965",242
"1663","1135978",256
"1664","1135986",215
"1665","1136389",232
"1666","1136007",260
"1667","1136011",243
"1668","1136015",231
"1669","1136012",286
"1670","1136016",247
"1671","1136020",244
"1672","1135969",306
"1673","1135973",244
"1674","1135977",242
"1675","1135994",254
"1676","1136002",255
"1677","1136386",215
"1678","1136019",242
"1679","1136027",265
"1680","1136031",256
"1681","1136024",262
"1682","1136028",279
"1683","1136032",248
"1684","1135981",270
"1685","1135985",243
"1686","1135993",203
"1687","1136014",248
"1688","1136018",223
"1689","1136385",255
"1690","1136035",270
"1691","1136039",289
"1692","1136043",245
"1693","1136036",242
"1694","1136040",233
"1695","1136381",219
"1696","1136001",237
"1697","1136005",180
"1698","1136397",251
"1699","1136010",227
"1700","1136026",261
"1701","1136030",227
"1702","1136047",279
"1703","1136051",266
"1704","1136059",275
"1705","1136048",190
"1706","1136060",240
"1707","1136396",231
"1708","1136017",271
"1709","1136025",248
"1710","1136029",234
"1711","1136042",225
"1712","1136046",245
"1713","1136050",238
"1714","1136067",265
"1715","1136079",260
"1716","1136408",246
"1717","1136068",235
"1718","1136076",267
"1719","1136403",252
"1720","1136033",268
"1721","1136037",236
"1722","1136041",287
"1723","1136058",247
"1724","1136062",236
"1725","1136066",259
"1726","1136083",261
"1727","1136091",267
"1728","1136095",249
"1729","1136084",231
"1730","1136092",248
"1731","1136402",229
"1732","1136045",255
"1733","1136049",271
"1734","1136395",259
"1735","1136078",261
"1736","1136082",243
"1737","1136404",276
"1738","1136075",255
"1739","1136099",275
"1740","1136103",285
"1741","1136096",236
"1742","1136100",250
"1743","1136104",265
"1744","1136057",280
"1745","1136061",259
"1746","1136065",257
"1747","1136070",235
"1748","1136086",235
"1749","1136090",192
"1750","1136107",250
"1751","1136111",264
"1752","1136115",279
"1753","1136108",231
"1754","1136112",303
"1755","1136401",273
"1756","1136009",232
"1757","1136013",253
"1758","1136063",281
"1759","1136038",245
"1760","1136064",233
"1761","1136407",224
"1922","1136077",234
"1923","1136081",226
"1924","1136085",283
"1925","1136102",261
"1926","1136110",280
"1927","1136114",246
"1928","1136123",252
"1929","1136127",232
"1930","1136131",265
"1931","1136128",260
"1932","1136136",234
"1933","1136405",266
"1934","1135328",290
"1935","1136093",252
"1936","1136101",230
"1937","1136118",252
"1938","1136130",257
"1939","1136134",241
"1940","1136135",191
"1941","1136143",250
"1942","1136416",235
"1943","1135305",236
"1944","1136140",240
"1945","1136144",232
"1946","1136105",258
"1947","1136109",243
"1948","1136113",288
"1949","1136138",296
"1950","1136142",249
"1951","1136146",254
"1952","1136147",264
"1953","1136159",269
"1954","1136406",242
"1955","1136156",231
"1956","1136160",248
"1957","1136421",275
"1958","1136117",226
"1959","1136125",241
"1960","1136129",232
"1961","1135322",286
"1962","1135324",264
"1963","1136150",270
"1964","1136167",248
"1965","1136171",196
"1966","1136412",274
"1967","1136164",270
"1968","1136168",312
"1969","1136172",232
"1970","1136149",246
"1971","1136157",239
"1972","1136161",242
"1973","1136174",242
"1974","1136178",260
"1975","1136182",265
"1976","1136199",253
"1977","1136203",248
"1978","1136207",259
"1979","1136208",266
"1980","1136212",265
"1981","1136216",239
"1982","1135330",224
"1983","1136137",284
"1984","1136145",274
"1985","1136162",219
"1986","1136166",263
"1987","1136170",271
"1988","1136374",256
"1989","1136379",271
"1990","1136417",248
"1991","1135995",218
"1992","1136184",257
"1993","1136200",239
"1994","1136069",280
"1995","1136073",244
"1996","1136094",245
"1997","1136098",270
"1998","1136119",271
"1999","1136124",256
"2000","1136175",260
"2001","1136176",245
"2002","1136179",265
"2003","1135937",256
"2004","1136133",266
"2005","1136158",231
"2006","1136165",213
"2007","1136169",251
"2008","1136173",239
"2009","1136190",230
"2010","1136194",254
"2011","1136198",268
"2012","1136215",274
"2013","1136372",245
"2014","1136373",209
"2015","1136224",202
"2016","1136228",155
"2017","1136232",260
"2018","1135336",252
"2019","1135342",240
"2020","1136177",253
"2021","1136202",253
"2022","1136206",226
"2023","1136210",243
"2024","1136227",246
"2025","1136231",232
"2026","1136370",260
"2027","1136196",281
"2028","1136204",214
"2029","1136236",292
"2030","1136197",251
"2031","1136201",267
"2032","1136205",244
"2033","1136222",250
"2034","1136226",280
"2035","1136230",240
"2036","1136243",285
"2037","1136420",233
"2038","1136422",252
"2039","1136244",254
"2040","1136248",234
"2041","1136256",269
"2042","1135309",269
"2043","1135313",257
"2044","1136209",253
"2045","1136234",272
"2046","1136238",250
"2047","1136242",251
"2048","1136255",255
"2049","1136259",251
"2050","1136263",226
"2051","1136264",259
"2052","1136268",252
"2053","1136369",262
"2054","1136246",254
"2055","1136250",260
"2056","1136262",241
"2057","1136267",253
"2058","1136271",236
"2059","1136275",240
"2060","1136276",244
"2061","1136280",245
"2062","1136368",248
"2063","1135307",244
"2064","1136225",251
"2065","1136233",256
"2066","1136237",234
"2067","1136241",265
"2068","1136245",251
"2069","1135340",264
"2070","1136266",235
"2071","1136270",200
"2072","1136279",261
"2073","1136283",245
"2074","1136291",230
"2075","1136288",279
"2076","1136364",248
"2077","1136365",272
"2078","1136189",294
"2079","1136214",270
"2080","1136218",248
"2081","1136193",244
"2082","1136239",261
"2083","1136240",255
"2244","1136299",256
"2245","1136303",236
"2246","1136307",260
"2247","1136300",245
"2248","1136304",219
"2249","1136308",256
"2250","1136257",240
"2251","1136261",243
"2252","1136265",270
"2253","1136006",240
"2254","1136274",220
"2255","1136278",224
"2256","1136312",224
"2257","1136316",225
"2258","1136324",268
"2259","1136269",219
"2260","1136273",295
"2261","1136277",237
"2262","1136294",305
"2263","1136298",265
"2264","1136302",275
"2265","1136311",240
"2266","1136315",246
"2267","1136418",257
"2268","1136249",264
"2269","1136295",211
"2270","1136290",273
"2271","1136296",232
"2272","1136309",239
"2273","1136357",260
"2274","1136334",240
"2275","1136358",252
"2276","1136339",262
"2277","1136343",278
"2278","1136348",260
"2279","1136340",231
"2280","1136344",237
"2281","1136349",269
"2282","1136297",274
"2283","1136301",257
"2284","1136305",227
"2285","1136322",248
"2286","1136326",249
"2287","1136330",276
"2288","1135352",229
"2289","1136328",257
"2290","1136336",263
"2291","1136281",244
"2292","1136289",271
"2293","1136293",298
"2294","1136306",239
"2295","1136310",261
"2296","1136314",269
"2297","1136327",236
"2298","1136331",268
"2299","1136415",274
"2300","1136329",272
"2301","1136333",254
"2302","1136337",251
"2303","1136052",249
"2304","1136355",265
"2305","1136360",241
"2306","1136022",245
"2307","1136055",308
"2308","1136220",204
"2309","1135349",243
"2310","1136155",243
"2311","1136187",243
"2312","1136317",225
"2313","1136321",256
"2314","1136325",281
"2315","1136342",226
"2316","1136346",301
"2317","1136351",266
"2318","1136121",245
"2319","1136186",243
"2320","1136252",262
"2321","1135351",269
"2322","1135353",245
"2323","1136287",225
"2324","1136034",247
"2325","1136345",243
"2326","1136350",248
"2327","1136053",241
"2328","1136054",183
"2329","1136286",262
"2330","1135990",245
"2331","1136089",255
"2332","1136318",245
"2333","1135321",214
"2334","1135327",269
"2335","1136414",237
"2336","1136116",257
"2337","1136359",261
"2338","1136367",279
"2339","1135301",255
"2340","1135957",275
"2341","1136352",262
"2342","1136313",218
"2343","1136353",224
"2344","1136361",258
"2345","1136122",288
"2346","1136338",270
"2347","1136362",189
"2348","1135892",261
"2349","1135896",275
"2350","1135900",254
"2351","1135338",264
"2352","1135350",275
"2353","1136071",262
"2354","1135893",248
"2355","1135942",257
"2356","1136380",227
"2357","1135895",260
"2358","1135899",240
"2359","1136413",237
"2360","1135908",239
"2361","1135912",290
"2362","1136377",241
"2363","1135344",285
"2364","1135348",254
"2365","1135890",242
"2366","1135966",237
"2367","1135996",236
"2368","1135997",252
"2369","1135903",253
"2370","1135907",231
"2371","1135911",236
"2372","1135916",235
"2373","1135920",209
"2374","1135928",274
"2375","1135891",290
"2376","1135924",234
"2377","1136347",238
"2378","1135894",307
"2379","1135898",254
"2380","1135998",249
"2381","1135915",242
"2382","1135919",280
"2383","1135927",275
"2384","1135932",269
"2385","1135936",264
"2386","1135940",261
"2387","1135955",238
"2388","1135988",257
"2389","1136356",225
"2390","1135902",231
"2391","1135906",255
"2392","1135910",295
"2393","1135931",276
"2394","1135935",316
"2395","1135939",296
"2396","1136371",250
"2397","1136375",296
"2398","1136388",250
"2399","1136419",252
"2400","Dummy",219
"2401","Dummy",256
"2402","Dummy",208
"2403","Dummy",247
"2404","Dummy",201
"2405","Dummy",NA
"2406","Dummy",251
"2407","Dummy",239
"2408","Dummy",227
"2409","Dummy",227
"2410","Dummy",222
"2411","Dummy",195
"2412","Dummy",233
"2413","Dummy",201
"2414","Dummy",238
"2415","Dummy",233
"2416","Dummy",207
"2417","Dummy",231
"2418","Dummy",198
"2419","Dummy",216
"2420","Dummy",213
"2421","Dummy",245
"2422","Dummy",216
"2423","Dummy",244
"2424","Dummy",191
"2425","Dummy",219
"2426","Dummy",204
"2427","Dummy",218
"2428","Dummy",221
"2429","Dummy",214
"2430","Dummy",224
"2431","Dummy",186
"2432","Dummy",224
"2433","Dummy",193
"2434","Dummy",215
"2435","Dummy",222
"2436","Dummy",224
"2437","Dummy",217
"2438","Dummy",219
"2439","Dummy",217
"2440","Dummy",208
"2441","Dummy",206
"2442","Dummy",254
"2443","Dummy",225
"2444","Dummy",242
"2445","Dummy",217
"2446","Dummy",281
"2447","Dummy",234
"2448","Dummy",194
"2449","Dummy",249
"2450","Dummy",238
"2451","Dummy",230
"2452","Dummy",216
"2453","Dummy",222
"2454","Dummy",229
"2455","Dummy",256
"2456","Dummy",217
"2457","Dummy",216
"2458","Dummy",234
"2459","Dummy",245
"2460","Dummy",240
"2476","Dummy",246
"2477","Dummy",214
"2478","Dummy",226
"2479","Dummy",215
"2480","Dummy",253
"2481","Dummy",242
"2482","Dummy",223
"2483","Dummy",220
"2484","Dummy",236
"2485","Dummy",276
"2486","Dummy",236
"2487","Dummy",215
"2503","Dummy",230
"2504","Dummy",243
"2505","Dummy",234
"2506","Dummy",155
"2507","Dummy",228
"2508","Dummy",225
"2509","Dummy",210
"2510","Dummy",209
"2511","Dummy",218
"2512","Dummy",214
"2513","Dummy",241
"2514","Dummy",231
"2515","Dummy",239
"2516","Dummy",224
"2517","Dummy",234
"2518","Dummy",222
"2519","Dummy",199
"2520","Dummy",204
"2521","Dummy",235
"2522","Dummy",243
"2523","Dummy",243
"2524","Dummy",279
"2525","Dummy",225
"2526","Dummy",226
"2572","Dummy",235
"2573","Dummy",152
"2574","Dummy",175
"2575","Dummy",226
"2576","Dummy",240
"2577","Dummy",256
"2578","Dummy",233
"2579","Dummy",263
"2580","Dummy",261
"2581","Dummy",210
"2582","Dummy",235
"2583","Dummy",236
"2599","Dummy",195
"2600","Dummy",275
"2601","Dummy",193
"2602","Dummy",249
"2603","Dummy",246
"2604","Dummy",202
"2605","Dummy",271
"2606","Dummy",256
"2607","Dummy",246
"2608","Dummy",230
"2609","Dummy",300
"2610","Dummy",300
"2641","Dummy",241
"2642","Dummy",142
"2643","Dummy",247
"2644","Dummy",233
"2645","Dummy",234
"2646","Dummy",316
"2647","Dummy",235
"2648","Dummy",204
"2649","Dummy",165
"2650","Dummy",249
"2651","Dummy",256
"2652","Dummy",264
"2653","Dummy",232
"2654","Dummy",258
"2655","Dummy",275
"2656","Dummy",244
"2657","Dummy",260
"2658","Dummy",225
"2659","Dummy",283
"2660","Dummy",239
"2661","Dummy",262
"2662","Dummy",272
"2663","Dummy",296
