Channels,UpNode,DownNode,OceanOrient,BendFlag,EffLength,RadCurv,Curvature,BendDir
1,1,2,1,1,14382.51076,4795.155083,2.999383859,1
2,2,3,1,1,8128.336255,1749.0175,4.647372743,-1
3,3,4,1,1,10431.29791,3099.165037,3.365841376,1
4,4,5,1,1,13045.29601,5787.637265,2.253993368,-1
5,5,6,1,1,6794.792466,12488.84326,0.544069,-1
6,6,7,1,1,5897.757633,5399.119868,1.092355379,1
7,7,8,1,1,9976.646643,3195.342725,3.122246188,-1
8,8,9,1,1,5101.049536,7107.225224,0.717727295,-1
9,9,10,1,1,11053.04231,3990.414082,2.769898584,-1
10,10,11,1,1,7151.278956,7776.622677,0.919586722,1
11,11,12,1,1,10014.34238,6560.801878,1.526390001,1
12,12,13,1,1,12868.89994,34171.02189,0.376602724,1
13,13,14,1,1,3970.309685,27581.27298,0.143949472,1
14,14,15,1,1,2067.275407,2111.645712,0.978987808,-1
15,15,16,1,1,5486.478968,15655.77942,0.35044432,-1
16,16,17,1,1,4758.884009,7939.162779,0.599418873,-1
17,393,1,1,1,6238.43763,8638.022223,0.722206712,-1
18,17,18,1,0,3765,0,0,0
19,18,19,1,0,3666,0,0,0
20,19,20,1,1,4872.160766,143352.4124,0.033987295,1
21,20,21,1,0,5947,0,0,0
22,21,22,1,1,6894.655056,10357.97584,0.665637298,-1
23,22,23,1,0,3425,0,0,0
24,23,24,1,1,6497.656822,6570.367586,0.988933532,-1
25,24,25,1,1,4387.784231,8441.58692,0.519781917,1
26,25,26,1,1,4474.860932,11318.28195,0.395365741,-1
27,27,25,-1,0,4700,0,0,0
28,26,28,1,1,4730.097818,4563.42411,1.036523826,1
29,28,27,-1,1,3751.910665,4755.268641,0.78900078,-1
30,25,28,1,0,7358,0,0,0
31,28,29,1,1,6348.233324,216065.429,0.029381069,-1
32,29,30,1,1,6001.505928,3838.512196,1.563497944,1
33,30,31,1,1,3225.793384,1559.717225,2.068191165,1
34,29,31,1,0,5988,0,0,0
35,30,32,1,1,9900.941507,4201.999678,2.356245184,1
36,31,32,1,1,6466.86459,4107.609422,1.574362099,1
37,32,33,1,1,5681.968205,7051.700224,0.805758615,1
38,33,34,1,0,4791,0,0,0
39,34,35,1,1,5053.973583,3884.857578,1.300941793,-1
40,35,36,1,0,5753,0,0,0
41,34,36,1,0,6359,0,0,0
42,36,37,1,1,7401.030275,3293.404927,2.247227547,-1
43,37,38,1,1,2681.505444,2021.535326,1.326469743,1
44,38,39,1,1,4945.910531,28681.85154,0.17244042,-1
45,39,40,1,1,11901.12444,17053.76513,0.697859056,-1
46,40,41,1,1,10474.98686,24710.60364,0.423906555,1
47,41,42,1,1,14965.08069,5174.836622,2.891894332,-1
48,42,43,1,1,7897.998296,6404.571291,1.233181416,1
49,387,44,1,1,12364.2805,21520.30726,0.574540147,-1
50,44,380,1,1,9131.761782,11325.04444,0.806333417,1
51,380,45,1,1,13523.37992,10469.16029,1.291734919,1
52,45,46,1,1,7785.935308,64542.53524,0.120632623,-1
53,46,383,1,0,11276,0,0,0
54,8,47,1,1,1440.634347,1855.231381,0.77652543,-1
55,47,48,1,1,5752.616849,2927.077401,1.965310807,-1
56,48,49,1,1,4123.453543,1462.678432,2.819111469,-1
57,49,50,1,0,4378,0,0,0
58,50,51,1,1,4977.092738,22311.48117,0.223073166,1
59,51,52,1,1,2655.895395,3307.796226,0.802919894,-1
60,52,53,1,1,3933.052244,2398.469501,1.639817493,1
61,53,54,1,1,5230.839251,7047.149424,0.742263139,1
62,54,55,1,1,3792.234551,6282.38929,0.603629348,-1
63,55,56,1,1,2287.928295,2397.656846,0.95423509,-1
64,159,55,1,1,3011.402457,4521.977863,0.665948076,-1
65,159,56,1,1,1510.02158,1010.708402,1.494022981,-1
66,56,57,1,0,2887,0,0,0
67,57,58,1,1,4798.186746,2251.141451,2.131446136,1
68,56,58,1,1,7538.977769,7117.872374,1.059161695,1
69,58,59,1,1,5347.335777,2618.217886,2.042357057,-1
70,59,60,1,1,5943.211719,14489.66379,0.410169056,1
71,60,61,1,1,3257.177188,139263.0967,0.02338866,1
72,61,62,1,1,4023.840591,4819.213975,0.834957861,1
73,62,63,1,1,2625.115325,2407.669431,1.090313849,1
74,63,64,1,1,2948.021785,1321.96362,2.230032462,-1
75,64,65,1,1,6209.639289,3929.327458,1.58033133,-1
76,65,66,1,1,5023.275797,13379.67059,0.375440917,-1
77,66,67,1,1,4727.220456,7623.710047,0.620068238,-1
78,67,68,1,1,3304.408406,4883.536349,0.676642533,-1
79,68,69,1,1,3475.447214,11930.56705,0.291306121,-1
80,69,70,1,1,2658.733323,1527.336521,1.740764583,-1
81,70,71,1,1,2541.905469,3151.082783,0.80667683,-1
82,43,387,1,1,6261.914392,17021.13325,0.367890569,-1
83,72,73,1,0,2461.766404,0,0,0
84,73,74,1,1,4261.422305,12345.64204,0.34517624,-1
85,74,76,1,1,4083.66343,31519.94371,0.129558081,1
86,76,77,1,1,2285.893192,12633.93284,0.180932828,-1
87,77,78,1,1,6832.292691,5372.909663,1.271618754,-1
88,78,79,1,1,2663.058327,8781.974175,0.303241421,-1
89,79,80,1,1,4219.409021,2345.037227,1.79929298,-1
90,80,81,1,1,4496.949591,129574.678,0.034705466,-1
91,81,82,1,1,6604.961219,1852.629653,3.565181637,-1
92,82,83,1,1,2656.120734,2106.827692,1.26072044,-1
93,83,84,1,1,2760.354309,1500.756309,1.839308815,1
94,84,85,1,1,5028.290665,9677.906034,0.519563906,1
95,85,86,1,0,3950,0,0,0
96,86,87,1,1,2299.988299,1701.352754,1.351858569,1
97,87,88,1,1,3269.302267,4716.913793,0.693101975,1
98,88,89,1,1,3656.722521,19127.44763,0.191176711,1
99,89,90,1,1,2787.393459,1868.005361,1.49217637,-1
100,90,91,1,1,4169.0144,3362.187365,1.239970872,1
101,90,91,1,1,6491.806375,1157.913236,5.606470481,-1
102,91,92,1,1,5885.902614,7713.022741,0.763112312,-1
103,93,92,-1,1,4047.373024,2113.667285,1.914858149,1
104,92,94,1,1,3372.096357,11696.05796,0.288310503,-1
105,93,94,1,1,3946.32843,2693.077853,1.465359951,1
106,94,97,1,1,8817.648712,33730.98328,0.26141096,1
107,95,94,-1,1,10541.01477,4102.679644,2.56929999,-1
108,95,96,1,1,10477.34924,17075.21454,0.613599859,1
109,96,97,-1,1,4704.495488,2351.643511,2.000513881,-1
110,97,212,1,1,6004.550293,6939.187984,0.865310222,1
111,212,98,1,1,4670.530874,14229.46841,0.32822947,-1
112,96,98,1,1,6879.723546,10061.65157,0.683756886,1
113,98,37,1,1,6753.433265,4362.110841,1.54820304,1
114,51,99,1,1,4019.131581,8940.768158,0.449528666,1
115,99,100,1,1,3336.141759,3099.268886,1.076428629,1
116,100,101,1,1,8806.58939,20635.67191,0.426765333,-1
117,101,102,1,1,6643.652748,6441.260124,1.031421278,-1
118,102,103,1,1,5841.063706,4400.217994,1.327448711,-1
119,103,104,1,1,5418.297894,2931.198239,1.848492477,1
120,104,105,1,1,5813.381719,1410120.136,0.004122614,-1
121,105,106,1,1,5730.227951,23045.31798,0.248650418,-1
122,106,107,1,1,4640.85269,16822.40075,0.275873388,1
123,107,108,1,1,6754.521814,24808.57036,0.272265661,1
124,108,109,1,1,6005.913065,5573.357043,1.077611396,-1
125,109,110,1,1,4093.294567,8242.228507,0.496624737,1
126,110,111,1,1,3089.237165,2217.747041,1.392961915,1
127,111,112,1,1,5099.233064,2304.764808,2.212474369,1
128,112,113,1,1,2659.687612,978.2132411,2.718924157,-1
129,113,115,1,1,4974.852322,6529.403012,0.761915341,1
130,113,114,1,1,3470.08714,1469.948372,2.360686407,1
131,114,115,1,1,5819.921273,3034.016264,1.918223492,1
132,115,116,1,1,3264.60814,3652.082524,0.893903169,1
133,116,117,1,1,2648.938653,3305.363184,0.801406231,-1
134,118,116,-1,1,4106.721097,2833.617389,1.449285677,-1
135,117,118,1,1,3331.317526,1902.233921,1.751265967,1
136,118,119,1,1,3241.261562,4623.008434,0.701115217,-1
137,117,119,1,1,3992.94853,12238.20917,0.326269022,1
138,119,120,1,1,5369.843907,26073.37937,0.205951205,1
139,120,121,1,1,3396.243968,12744.62652,0.266484386,1
140,121,122,1,1,3437.473765,3024.384351,1.136586282,-1
141,122,123,1,1,2572.501796,6801.973976,0.3781993,-1
142,123,124,1,1,2531.805254,18932.43921,0.133728424,-1
143,124,125,1,1,2898.21226,2865.161126,1.011535524,1
144,125,126,1,1,3318.073982,82092.80324,0.040418573,1
145,125,127,1,1,4575.954841,15084.13734,0.303362051,-1
146,126,127,1,1,3107.895328,2032.387462,1.529184462,-1
147,126,127,1,1,3098.48467,1605.813939,1.929541521,1
148,127,128,1,1,4099.694913,9563.845138,0.428665966,1
149,128,30,1,1,7675.013842,8299.615021,0.924743355,1
150,128,129,1,1,8726.90735,20974.31536,0.41607591,1
151,129,33,1,1,4510.585469,9155.921425,0.492641348,-1
152,129,34,1,1,5874.344288,2721.591407,2.158422558,1
153,139,130,1,1,6142.995149,6092.291959,1.008322515,1
154,130,131,1,1,1960.491498,1351.628984,1.450465713,-1
155,131,132,1,1,2178.826087,3392.643508,0.642220758,-1
156,132,125,1,1,3395.778256,1425.89684,2.381503459,-1
157,131,125,1,1,3795.811897,52705.69973,0.072019002,-1
158,16,133,1,1,5916.613758,14406.75272,0.41068337,1
159,133,134,1,1,7424.673309,4737.22755,1.567303498,1
160,134,20,1,1,4349.029461,9247.855222,0.470274389,-1
161,135,25,1,1,6081.76788,9627.646081,0.631698323,-1
162,136,135,1,1,3766.651652,7670.641973,0.491047772,-1
163,137,136,1,1,5797.256189,17629.34664,0.328841239,-1
164,138,137,-1,0,4956,0,0,0
165,139,138,-1,0,4247,0,0,0
166,140,139,1,0,4363,0,0,0
167,119,140,1,1,6803.911268,3352.362758,2.02958682,1
168,120,140,1,1,4456.345774,9120.08082,0.488630075,1
169,394,141,1,1,7532.015576,95761.23617,0.078654118,-1
170,141,142,1,1,6363.670633,8559.222095,0.743487032,-1
171,142,137,1,1,4029.075737,5830.565254,0.691026609,1
172,143,57,1,1,3389.357169,10106.94283,0.335349396,-1
173,395,143,1,1,6919.056115,63356.37661,0.10920852,-1
174,396,144,1,0,4600,0,0,0
175,144,145,1,1,3307.407335,2388.147357,1.384925987,1
176,145,146,1,1,2450.617084,957.5184983,2.559341766,1
177,146,147,1,1,1486.740989,1561.95222,0.951847931,1
178,147,148,1,1,4084.038352,2098.598787,1.946078677,1
179,148,149,1,0,2315,0,0,0
180,149,150,1,1,4970.670114,1974.500402,2.517431806,-1
181,150,151,1,1,3468.36138,828.7372454,4.185115849,1
182,151,152,1,1,5405.292745,1034.99985,5.222505824,1
183,152,143,1,1,5602.536859,47595.6177,0.117711191,1
184,5,153,1,1,2561.382287,6601.194585,0.388017995,1
185,153,154,1,1,5034.832359,9455.597493,0.532471096,-1
186,154,155,1,1,7221.014225,15338.4944,0.470777251,-1
187,155,156,1,1,9004.161912,8007.686454,1.12443987,1
188,156,53,1,1,6848.248996,47562.8056,0.143983285,1
189,397,157,1,0,7630,0,0,0
190,157,158,1,1,10526.89659,99767.49706,0.10551429,1
191,158,159,1,1,7285.143308,6285.626203,1.159016313,1
192,398,160,1,0,7297,0,0,0
193,55,160,1,1,4622.520226,15457.5196,0.2990467,1
194,160,161,1,0,5533,0,0,0
195,161,162,1,0,2534,0,0,0
196,162,163,1,0,4235,0,0,0
197,163,164,1,0,3553,0,0,0
198,164,165,1,0,3636,0,0,0
199,165,166,1,0,4032,0,0,0
200,166,167,1,0,6906,0,0,0
201,167,70,1,1,2751.763856,2141.315715,1.285080867,1
202,168,69,1,1,5190.269427,9389.842562,0.552753616,-1
203,206,75,1,1,12239.45151,57064.55042,0.214484324,-1
204,399,168,1,1,7575.563905,15073.55161,0.502573255,1
205,71,169,1,0,4240,0,0,0
206,169,170,1,1,6158.368607,3261.304197,1.888314685,-1
207,170,171,1,1,2213.884074,2832.030683,0.781730257,-1
208,171,172,1,1,1896.876071,1049.89671,1.80672637,1
209,170,172,1,1,2406.49658,7199.293194,0.33426845,1
210,172,173,1,1,2791.738747,8886.090044,0.314169532,1
211,173,174,1,1,2655.664122,2021.298676,1.313840529,1
212,172,174,1,1,3160.356969,7076.170507,0.446619675,1
213,174,179,1,1,2266.868861,10436.11634,0.217213836,1
214,108,175,1,0,4153,0,0,0
215,175,176,1,0,4789,0,0,0
216,176,177,1,0,3218,0,0,0
217,177,178,1,0,3048,0,0,0
218,178,179,1,0,5712,0,0,0
219,179,74,1,1,4052.84201,6109.096482,0.663411033,1
220,71,72,1,0,3088,0,0,0
221,112,180,1,0,4028,0,0,0
222,180,181,1,0,4922,0,0,0
223,181,81,1,0,3920,0,0,0
224,81,182,1,1,4786.668014,9140.951855,0.523650938,1
225,182,183,1,1,3306.319786,2747.617123,1.2033408,1
226,183,184,1,1,1633.779525,2217.253136,0.736848445,-1
227,184,185,1,0,3820,0,0,0
228,185,186,1,1,8254.967598,166129.9283,0.049689828,1
229,186,187,1,1,5453.294829,11057.23267,0.493188033,-1
230,187,188,1,1,3835.908753,1948.790772,1.968353303,-1
231,188,189,1,1,4920.25793,2087.152193,2.357402563,-1
232,189,90,-1,1,5389.165954,7595.271799,0.709542212,-1
233,190,189,-1,1,4947.28526,2327.107023,2.125938004,1
234,191,190,-1,0,4948,0,0,0
235,400,191,1,0,5009,0,0,0
236,124,192,1,1,5749.786776,9753.741203,0.589495523,-1
237,192,193,1,0,6333,0,0,0
238,193,93,1,1,4929.366805,8997.722311,0.54784607,1
239,193,95,1,1,2815.318122,14123.69309,0.199333001,1
240,401,194,1,0,4298,0,0,0
241,194,195,1,1,3241.537454,16870.3988,0.192143499,-1
242,195,196,1,1,6209.701154,7638.426897,0.8129555,-1
243,196,74,1,1,4763.102495,3712.451783,1.283007234,-1
244,196,76,1,1,2577.233963,2731.724709,0.943445712,-1
245,116,197,1,0,4295,0,0,0
246,197,84,1,0,3086,0,0,0
247,75,44,1,1,7910.635771,5097.708054,1.551802435,1
248,191,198,1,1,6973.573919,176714.9558,0.039462274,1
249,198,200,1,1,5970.403608,12841.51052,0.46493001,1
250,198,201,1,1,5679.035325,11311.16389,0.502073472,-1
251,97,199,1,0,9400,0,0,0
252,199,200,1,1,4006.608088,20045.86735,0.199872024,1
253,200,201,1,1,4809.991001,2233.906245,2.153174965,1
254,200,201,1,1,4054.05339,5212.538992,0.777750228,-1
255,199,202,1,1,7007.638167,19973.87831,0.350840135,-1
256,202,203,1,1,10865.6909,4405.674508,2.466294521,-1
257,203,209,1,1,5878.246924,1511.334719,3.889440804,1
258,205,204,1,1,13197.45772,34421.45185,0.383407934,1
259,204,203,1,1,8874.496592,30683.23888,0.289229459,1
260,201,205,1,1,4799.893114,9958.043018,0.482011687,-1
261,205,206,1,1,8957.222435,19934.44241,0.449333984,-1
262,206,44,1,1,14730.48958,15734.60154,0.936184469,-1
263,98,207,1,1,6594.804889,3840.341262,1.717244494,-1
