Position,dEpsVdz
0.001,0
0.003,0.00012259
0.005,0.00024518
0.007,0.00036777
0.009,0.00049036
0.011,0.00061295
0.013,0.00073554
0.015,0.00085813
0.017,0.00098072
0.019,0.00110331
0.021,0.0012259
0.023,0.00134849
0.025,0.00147108
0.027,0.00159367
0.029,0.00171626
0.031,0.00183885
0.033,0.00196144
0.035,0.00208403
0.037,0.00220662
0.039,0.00232921
0.041,0.0024518
0.043,0.00257439
0.045,0.00269698
0.047,0.00281957
0.049,0.00294216
0.051,0.00306475
0.053,0.00318734
0.055,0.00330993
0.057,0.00343252
0.059,0.00355511
0.061,0.0036777
0.063,0.00380029
0.065,0.00392288
0.067,0.00404547
0.069,0.00416806
0.071,0.00429065
0.073,0.00441324
0.075,0.00453583
0.077,0.00465842
0.079,0.00478101
0.081,0.0049036
0.083,0.00502619
0.085,0.00514878
0.087,0.00527137
0.089,0.00539396
0.091,0.00551655
0.093,0.00563914
0.095,0.00576173
0.097,0.00588432
0.099,0.00600691
0.101,0.0061295
0.103,0.00625209
0.105,0.00637468
0.107,0.00649727
0.109,0.00661986
0.111,0.00674245
0.113,0.00686504
0.115,0.00698763
0.117,0.00711022
0.119,0.00723281
0.121,0.0073554
0.123,0.00747799
0.125,0.00760058
0.127,0.00772317
0.129,0.00784576
0.131,0.00796835
0.133,0.00809094
0.135,0.00821353
0.137,0.00833612
0.139,0.00845871
0.141,0.0085813
0.143,0.00870389
0.145,0.00882648
0.147,0.00894907
0.149,0.00907166
0.151,0.00919425
0.153,0.00931684
0.155,0.00943943
0.157,0.00956202
0.159,0.00968461
0.161,0.0098072
0.163,0.00992979
0.165,0.01005238
0.167,0.01017497
0.169,0.01029756
0.171,0.01042015
0.173,0.01054274
0.175,0.01066533
0.177,0.01078792
0.179,0.01091051
0.181,0.0110331
0.183,0.0111478486091658
0.185,0.0112526547331563
0.187,0.0113475183719714
0.189,0.0114324395256112
0.191,0.0115074181940756
0.193,0.0115724543773647
0.195,0.0116275480754785
0.197,0.0116726992884168
0.199,0.0117079080161799
0.201,0.0117331742587675
0.203,0.0117484980161799
0.205,0.0117538792884168
0.207,0.0117493180754785
0.209,0.0117348143773647
0.211,0.0117103681940757
0.213,0.0116759795256112
0.215,0.0116316483719714
0.217,0.0115773747331563
0.219,0.0115131586091658
0.221,0.011439
0.223,0.011357
0.225,0.011275
0.227,0.011193
0.229,0.011111
0.231,0.011029
0.233,0.010947
0.235,0.010865
0.237,0.010783
0.239,0.010701
0.241,0.010619
0.243,0.010537
0.245,0.010455
0.247,0.010373
0.249,0.010291
0.251,0.010209
0.253,0.010127
0.255,0.010045
0.257,0.009963
0.259,0.009881
0.261,0.009799
0.263,0.009717
0.265,0.009635
0.267,0.009553
0.269,0.009471
0.271,0.009389
0.273,0.009307
0.275,0.009225
0.277,0.009143
0.279,0.009061
0.281,0.008979
0.283,0.008897
0.285,0.008815
0.287,0.008733
0.289,0.008651
0.291,0.008569
0.293,0.008487
0.295,0.008405
0.297,0.008323
0.299,0.008241
0.301,0.008159
0.303,0.008077
0.305,0.007995
0.307,0.007913
0.309,0.007831
0.311,0.007749
0.313,0.007667
0.315,0.007585
0.317,0.007503
0.319,0.007421
0.321,0.007339
0.323,0.007257
0.325,0.007175
0.327,0.007093
0.329,0.007011
0.331,0.006929
0.333,0.006847
0.335,0.006765
0.337,0.006683
0.339,0.006601
0.341,0.006519
0.343,0.006437
0.345,0.006355
0.347,0.006273
0.349,0.006191
0.351,0.006109
0.353,0.006027
0.355,0.005945
0.357,0.005863
0.359,0.005781
0.361,0.005699
0.363,0.005617
0.365,0.005535
0.367,0.005453
0.369,0.005371
0.371,0.005289
0.373,0.005207
0.375,0.005125
0.377,0.005043
0.379,0.004961
0.381,0.004879
0.383,0.004797
0.385,0.004715
0.387,0.004633
0.389,0.004551
0.391,0.004469
0.393,0.004387
0.395,0.004305
0.397,0.004223
0.399,0.004141
0.401,0.004059
0.403,0.003977
0.405,0.003895
0.407,0.003813
0.409,0.003731
0.411,0.003649
0.413,0.003567
0.415,0.003485
0.417,0.003403
0.419,0.003321
0.421,0.003239
0.423,0.003157
0.425,0.003075
0.427,0.002993
0.429,0.002911
0.431,0.002829
0.433,0.002747
0.435,0.002665
0.437,0.002583
0.439,0.002501
0.441,0.002419
0.443,0.002337
0.445,0.002255
0.447,0.002173
0.449,0.002091
0.451,0.002009
0.453,0.001927
0.455,0.001845
0.457,0.001763
0.459,0.001681
0.461,0.001599
0.463,0.001517
0.465,0.001435
0.467,0.001353
0.469,0.001271
0.471,0.001189
0.473,0.001107
0.475,0.001025
0.477,0.000942999999999999
0.479,0.000860999999999999
0.481,0.000779000000000001
0.483,0.000697000000000001
0.485,0.000615000000000001
0.487,0.000533
0.489,0.000451
0.491,0.000369
0.493,0.000287
0.495,0.000205
0.497,0.000123
0.499,4.1e-05
0.501,-4.1e-05
0.503,-0.000123
0.505,-0.000205
0.507,-0.000287
0.509,-0.000369
0.511,-0.000451
0.513,-0.000533000000000001
0.515,-0.000615000000000001
0.517,-0.000697000000000001
0.519,-0.000779000000000001
0.521,-0.000860999999999996
0.523,-0.000942999999999996
0.525,-0.001025
0.527,-0.001107
0.529,-0.001189
0.531,-0.001271
0.533,-0.001353
0.535,-0.001435
0.537,-0.001517
0.539,-0.001599
0.541,-0.001681
0.543,-0.001763
0.545,-0.001845
0.547,-0.001927
0.549,-0.002009
0.551,-0.002091
0.553,-0.002173
0.555,-0.002255
0.557,-0.002337
0.559,-0.002419
0.561,-0.002501
0.563,-0.002583
0.565,-0.002665
0.567,-0.002747
0.569,-0.002829
0.571,-0.002911
0.573,-0.002993
0.575,-0.003075
0.577,-0.003157
0.579,-0.003239
0.581,-0.003321
0.583,-0.003403
0.585,-0.003485
0.587,-0.003567
0.589,-0.003649
0.591,-0.003731
0.593,-0.003813
0.595,-0.003895
0.597,-0.003977
0.599,-0.004059
0.601,-0.004141
0.603,-0.004223
0.605,-0.004305
0.607,-0.004387
0.609,-0.004469
0.611,-0.004551
0.613,-0.004633
0.615,-0.004715
0.617,-0.004797
0.619,-0.004879
0.621,-0.004961
0.623,-0.005043
0.625,-0.005125
0.627,-0.005207
0.629,-0.005289
0.631,-0.005371
0.633,-0.005453
0.635,-0.005535
0.637,-0.005617
0.639,-0.005699
0.641,-0.005781
0.643,-0.005863
0.645,-0.005945
0.647,-0.006027
0.649,-0.006109
0.651,-0.006191
0.653,-0.006273
0.655,-0.006355
0.657,-0.006437
0.659,-0.006519
0.661,-0.006601
0.663,-0.006683
0.665,-0.006765
0.667,-0.006847
0.669,-0.006929
0.671,-0.007011
0.673,-0.007093
0.675,-0.007175
0.677,-0.007257
0.679,-0.007339
0.681,-0.007421
0.683,-0.007503
0.685,-0.007585
0.687,-0.007667
0.689,-0.007749
0.691,-0.007831
0.693,-0.007913
0.695,-0.007995
0.697,-0.008077
0.699,-0.008159
0.701,-0.008241
0.703,-0.008323
0.705,-0.008405
0.707,-0.008487
0.709,-0.008569
0.711,-0.008651
0.713,-0.008733
0.715,-0.008815
0.717,-0.008897
0.719,-0.008979
0.721,-0.009061
0.723,-0.009143
0.725,-0.009225
0.727,-0.009307
0.729,-0.009389
0.731,-0.009471
0.733,-0.009553
0.735,-0.009635
0.737,-0.009717
0.739,-0.009799
0.741,-0.009881
0.743,-0.009963
0.745,-0.010045
0.747,-0.010127
0.749,-0.010209
0.751,-0.010291
0.753,-0.010373
0.755,-0.010455
0.757,-0.010537
0.759,-0.010619
0.761,-0.010701
0.763,-0.010783
0.765,-0.010865
0.767,-0.010947
0.769,-0.011029
0.771,-0.011111
0.773,-0.011193
0.775,-0.011275
0.777,-0.011357
0.779,-0.011439
0.781,-0.0115131586091658
0.783,-0.0115773747331563
0.785,-0.0116316483719714
0.787,-0.0116759795256112
0.789,-0.0117103681940757
0.791,-0.0117348143773647
0.793,-0.0117493180754785
0.795,-0.0117538792884168
0.797,-0.0117484980161799
0.799,-0.0117331742587675
0.801,-0.0117079080161799
0.803,-0.0116726992884168
0.805,-0.0116275480754785
0.807,-0.0115724543773647
0.809,-0.0115074181940757
0.811,-0.0114324395256112
0.813,-0.0113475183719714
0.815,-0.0112526547331563
0.817,-0.0111478486091658
0.819,-0.0110331
0.821,-0.01091051
0.823,-0.01078792
0.825,-0.01066533
0.827,-0.01054274
0.829,-0.01042015
0.831,-0.01029756
0.833,-0.01017497
0.835,-0.01005238
0.837,-0.00992979
0.839,-0.0098072
0.841,-0.00968461
0.843,-0.00956202
0.845,-0.00943943
0.847,-0.00931684
0.849,-0.00919425
0.851,-0.00907166
0.853,-0.00894907
0.855,-0.00882648
0.857,-0.00870389
0.859,-0.0085813
0.861,-0.00845871
0.863,-0.00833612
0.865,-0.00821353
0.867,-0.00809094
0.869,-0.00796835
0.871,-0.00784576
0.873,-0.00772317
0.875,-0.00760058
0.877,-0.00747799
0.879,-0.0073554
0.881,-0.00723280999999999
0.883,-0.00711022
0.885,-0.00698763
0.887,-0.00686504
0.889,-0.00674245
0.891,-0.00661986
0.893,-0.00649727
0.895,-0.00637468
0.897,-0.00625209
0.899,-0.0061295
0.901,-0.00600691
0.903,-0.00588432
0.905,-0.00576173
0.907,-0.00563914
0.909,-0.00551655
0.911,-0.00539396
0.913,-0.00527137
0.915,-0.00514878
0.917,-0.00502619
0.919,-0.00490359999999999
0.921,-0.00478101
0.923,-0.00465841999999999
0.925,-0.00453583
0.927,-0.00441323999999999
0.929,-0.00429064999999999
0.931,-0.00416805999999999
0.933,-0.00404546999999999
0.935,-0.00392287999999999
0.937,-0.00380028999999999
0.939,-0.00367769999999999
0.941,-0.00355511
0.943,-0.00343252
0.945,-0.00330993
0.947,-0.00318734
0.949,-0.00306475
0.951,-0.00294216
0.953,-0.00281957
0.955,-0.00269698
0.957,-0.00257439
0.959,-0.0024518
0.961,-0.00232921
0.963,-0.00220662
0.965,-0.00208403
0.967,-0.00196144
0.969,-0.00183885
0.971,-0.00171626
0.973,-0.00159367
0.975,-0.00147108
0.977,-0.00134849
0.979,-0.0012259
0.981,-0.00110331
0.983,-0.000980720000000001
0.985,-0.000858130000000001
0.987,-0.00073554
0.989,-0.00061295
0.991,-0.00049036
0.993,-0.00036777
0.995,-0.00024518
0.997,-0.00012259
0.999,0
